Unnamed: 0,Overall_Rating,Type Of Traveller,Seat Type,Seat Comfort,Cabin Staff Service,Food & Beverages,Ground Service,Inflight Entertainment,Wifi & Connectivity,Value For Money,Recommended
9213,2,Family Leisure,Economy Class,4.0,5.0,5.0,1.0,5.0,,5.0,yes
9214,5,Business,Business Class,4.0,4.0,4.0,1.0,,,3.0,no
9215,7,Solo Leisure,Premium Economy,4.0,4.0,4.0,4.0,3.0,,4.0,yes
9216,1,Solo Leisure,Economy Class,5.0,5.0,5.0,5.0,5.0,5.0,5.0,yes
9217,1,Solo Leisure,Business Class,5.0,5.0,5.0,5.0,4.0,4.0,5.0,yes
9218,1,Solo Leisure,Business Class,5.0,5.0,5.0,5.0,5.0,,5.0,yes
9219,1,Solo Leisure,Premium Economy,5.0,5.0,4.0,5.0,5.0,,5.0,yes
9220,1,Solo Leisure,Economy Class,5.0,5.0,5.0,5.0,5.0,,5.0,yes
9221,7,Couple Leisure,Economy Class,4.0,4.0,4.0,4.0,,,3.0,no
9222,7,Solo Leisure,Economy Class,3.0,4.0,4.0,4.0,5.0,,4.0,yes
9223,2,Business,Economy Class,1.0,1.0,2.0,1.0,3.0,1.0,1.0,no
9224,8,Business,Business Class,3.0,4.0,3.0,4.0,4.0,,3.0,yes
9225,1,Solo Leisure,Business Class,5.0,5.0,5.0,5.0,5.0,,5.0,yes
9226,1,Solo Leisure,Business Class,5.0,5.0,5.0,5.0,5.0,5.0,5.0,yes
9227,1,Solo Leisure,Premium Economy,2.0,1.0,1.0,1.0,1.0,,1.0,no
9228,7,Couple Leisure,Premium Economy,3.0,2.0,2.0,3.0,3.0,,3.0,yes
9229,9,Business,Business Class,4.0,5.0,5.0,4.0,4.0,,5.0,yes
9230,2,Solo Leisure,Business Class,2.0,4.0,1.0,4.0,,,2.0,no
9231,4,Family Leisure,Economy Class,3.0,2.0,4.0,1.0,2.0,,3.0,no
9232,1,Solo Leisure,Economy Class,2.0,1.0,1.0,2.0,,,2.0,no
9233,5,Solo Leisure,Economy Class,3.0,4.0,1.0,4.0,3.0,,3.0,no
9234,3,Business,Premium Economy,2.0,2.0,1.0,4.0,1.0,3.0,3.0,no
9235,1,Solo Leisure,Business Class,4.0,5.0,5.0,5.0,5.0,5.0,5.0,yes
9236,1,Family Leisure,Economy Class,5.0,5.0,5.0,5.0,5.0,5.0,5.0,yes
9237,8,Family Leisure,Economy Class,2.0,4.0,5.0,5.0,5.0,,4.0,yes
9238,1,Couple Leisure,Economy Class,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no
9239,2,Couple Leisure,Economy Class,2.0,2.0,3.0,1.0,4.0,,3.0,no
9240,1,Solo Leisure,Economy Class,1.0,1.0,2.0,1.0,2.0,,1.0,no
9241,4,Solo Leisure,Economy Class,2.0,3.0,2.0,3.0,1.0,1.0,3.0,no
9242,6,Family Leisure,Economy Class,3.0,4.0,3.0,2.0,2.0,,4.0,yes
9243,2,Family Leisure,Economy Class,1.0,2.0,1.0,3.0,1.0,2.0,3.0,no
9244,1,Solo Leisure,Economy Class,3.0,1.0,,1.0,,,1.0,no
9245,2,Solo Leisure,Economy Class,1.0,1.0,,1.0,,,1.0,no
9246,1,Business,Economy Class,1.0,1.0,,1.0,,,1.0,no
