Unnamed: 0,Overall_Rating,Type Of Traveller,Seat Type,Seat Comfort,Cabin Staff Service,Food & Beverages,Ground Service,Inflight Entertainment,Wifi & Connectivity,Value For Money,Recommended,Profile
236,1,Couple Leisure,Economy Class,2.0,1.0,1.0,1.0,2.0,1.0,1.0,no,Detractor
237,6,Solo Leisure,Economy Class,4.0,2.0,1.0,3.0,1.0,1.0,3.0,no,Detractor
238,6,Couple Leisure,Economy Class,1.0,3.0,1.0,3.0,3.0,1.0,4.0,yes,Detractor
239,1,Couple Leisure,Economy Class,3.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
240,1,Family Leisure,Business Class,2.0,1.0,1.0,1.0,2.0,2.0,1.0,no,Detractor
241,4,Solo Leisure,Economy Class,4.0,4.0,4.0,3.0,5.0,2.0,4.0,no,Detractor
242,1,Family Leisure,Economy Class,2.0,1.0,2.0,1.0,1.0,1.0,1.0,no,Detractor
243,1,Family Leisure,Economy Class,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
244,1,Solo Leisure,Economy Class,1.0,2.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
245,2,Solo Leisure,Economy Class,2.0,2.0,2.0,1.0,2.0,1.0,2.0,no,Detractor
246,1,Business,Premium Economy,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
247,1,Couple Leisure,Economy Class,1.0,2.0,2.0,1.0,1.0,1.0,1.0,no,Detractor
248,3,Solo Leisure,Economy Class,3.0,3.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
249,2,Solo Leisure,Economy Class,1.0,3.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
250,1,Solo Leisure,Economy Class,3.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
251,3,Family Leisure,Economy Class,4.0,1.0,1.0,3.0,3.0,4.0,3.0,no,Detractor
252,1,Solo Leisure,Economy Class,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
253,2,Couple Leisure,Economy Class,3.0,2.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
254,1,Family Leisure,Economy Class,1.0,1.0,1.0,1.0,3.0,3.0,2.0,no,Detractor
255,1,Couple Leisure,Economy Class,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
256,1,Family Leisure,Economy Class,4.0,4.0,2.0,2.0,4.0,3.0,3.0,no,Detractor
257,2,Solo Leisure,Economy Class,1.0,1.0,1.0,1.0,2.0,1.0,1.0,no,Detractor
